1,Toy Story ,1995,1
2,Jumanji ,1995,1
3,Grumpier Old Men ,1995,3
4,Waiting to Exhale ,1995,3
5,Father of the Bride Part II ,1995,3
6,Heat ,1995,2
7,Sabrina ,1995,3
8,Tom and Huck ,1995,1
9,Sudden Death ,1995,2
10,GoldenEye ,1995,2
11,American President The ,1995,3
12,Dracula Dead and Loving It ,1995,3
13,Balto ,1995,1
14,Nixon ,1995,5
15,Cutthroat Island ,1995,2
16,Casino ,1995,6
17,Sense and Sensibility ,1995,5
18,Four Rooms ,1995,3
19,Ace Ventura When Nature Calls ,1995,3
20,Money Train ,1995,2
21,Get Shorty ,1995,3
22,Copycat ,1995,6
23,Assassins ,1995,2
24,Powder ,1995,5
25,Leaving Las Vegas ,1995,5
26,Othello ,1995,5
27,Now and Then ,1995,10
28,Persuasion ,1995,5
29,City of Lost 10 The Cité des enfants perdus La ,1995,1
30,Shanghai Triad Yao a yao yao dao waipo qiao ,1995,6
31,Dangerous Minds ,1995,5
32,Twelve Monkeys aka 12 Monkeys ,1995,5
33,Wings of Courage ,1995,1
34,Babe ,1995,5
35,Carrington ,1995,5
36,Dead Man Walking ,1995,6
37,Across the Sea of Time ,1995,7
38,It Takes Two ,1995,3
39,Clueless ,1995,3
40,Cry the Beloved Country ,1995,5
41,Richard III ,1995,5
42,Dead Presidents ,1995,2
43,Restoration ,1995,5
44,Mortal Kombat ,1995,2
45,To Die For ,1995,3
46,How to Make an American Quilt ,1995,5
47,Seven aka Se7en ,1995,8
48,Pocahontas ,1995,10
49,When Night Is Falling ,1995,5
50,Usual Suspects The ,1995,6
51,Guardian Angel ,1995,2
52,Mighty Aphrodite ,1995,3
53,Lamerica ,1995,1
54,Big Green The ,1995,3
55,Georgia ,1995,5
56,Kids of the Round Table ,1995,1
57,Home for the Holidays ,1995,5
58,Postman The Postino Il ,1995,3
59,Confessional The Confessionnal Le ,1995,5
60,Indian in the Cupboard The ,1995,1
61,Eye for an Eye ,1995,5
62,Mr Hollands Opus ,1995,5
63,Dont Be a Menace to South Central While Drinking Your Juice in the Hood ,1995,3
64,Two if by Sea ,1995,3
65,BioDome ,1995,3
66,Lawnmower Man 2 Beyond Cyberspace ,1995,2
67,Two Bits ,1995,5
68,French Twist Gazon maudit ,1995,3
69,Friday ,1995,3
70,From Dusk Till Dawn ,1995,2
71,Fair Game ,1995,2
72,Kicking and Screaming ,1995,3
73,Misérables Les ,1995,5
74,Bed of Roses ,1995,5
75,Big Bully ,1995,3
76,Screamers ,1995,2
77,Nico Icon ,1995,7
